year,make,model,trim,body,transmission,vin,state,condition,odometer,color,interior,seller,mmr,sellingprice,saledate
2012,Kia,Sorento,SX,SUV,automatic,5xykw4a2xcg255560,ca,39.0,57480.0,white,black,kia motors finance,18300.0,19400.0,Tue Dec 16 2014 12:00:00 GMT-0800 (PST)
2012,Infiniti,G Sedan,G37 Journey,G Sedan,automatic,jn1cv6ap8cm620401,ca,23.0,43860.0,blue,black,nissan infiniti lt,20300.0,16750.0,Tue Dec 16 2014 12:30:00 GMT-0800 (PST)
2012,Infiniti,G Sedan,G37 Journey,G Sedan,automatic,jn1cv6ap3cm625473,ca,42.0,44905.0,black,black,nissan infiniti lt,20200.0,23000.0,Wed Dec 17 2014 12:30:00 GMT-0800 (PST)
2012,Jeep,Liberty,Sport,SUV,automatic,1c4pjmak5cw183626,ca,35.0,36431.0,silver,black,dtg operations inc,14450.0,14100.0,Thu Dec 18 2014 11:30:00 GMT-0800 (PST)
2012,Infiniti,G Sedan,G37 Journey,G Sedan,automatic,jn1cv6ap6cm934600,ca,44.0,17031.0,blue,black,nissan infiniti lt,23200.0,21000.0,Thu Dec 18 2014 12:30:00 GMT-0800 (PST)
2012,Infiniti,G Sedan,G37 Journey,G Sedan,automatic,jn1cv6ap7cm932340,ca,42.0,29871.0,blue,black,nissan infiniti lt,21800.0,21750.0,Thu Dec 18 2014 12:30:00 GMT-0800 (PST)
2012,Infiniti,M,M37x,Sedan,automatic,jn1by1ar3cm392623,ca,38.0,35421.0,black,black,nissan infiniti lt,26300.0,27750.0,Thu Dec 18 2014 12:30:00 GMT-0800 (PST)
2012,MINI,Cooper,Base,Hatchback,automatic,wmwsu3c58ct256733,ca,3.0,21054.0,red,—,bmw mini financial services,14150.0,13750.0,Thu Jan 15 2015 04:30:00 GMT-0800 (PST)
2012,Infiniti,M,M37,Sedan,automatic,jn1by1ap5cm332499,ca,39.0,31821.0,black,black,nissan infiniti lt,27400.0,25500.0,Thu Dec 18 2014 12:30:00 GMT-0800 (PST)
2012,Infiniti,G Sedan,G37 Journey,G Sedan,automatic,jn1cv6ap7cm622933,ca,42.0,42321.0,black,black,nissan infiniti lt,20400.0,21000.0,Thu Dec 18 2014 12:30:00 GMT-0800 (PST)
2012,Infiniti,G Coupe,G37,G Coupe,automatic,jn1cv6ek1cm422290,ca,39.0,30681.0,gray,black,nissan infiniti lt,21700.0,22750.0,Thu Dec 18 2014 12:30:00 GMT-0800 (PST)
2012,Infiniti,G Coupe,G37,G Coupe,automatic,jn1cv6ek4cm422185,ca,35.0,33491.0,gray,black,nissan infiniti lt,21600.0,23250.0,Wed Dec 17 2014 12:30:00 GMT-0800 (PST)
2012,Lexus,IS 350,Base,Sedan,automatic,jthbe5c27c5029117,ca,38.0,90943.0,white,black,lexus of valencia,23800.0,20750.0,Wed Dec 17 2014 12:15:00 GMT-0800 (PST)
2012,Mazda,Mazda3,i Touring,Sedan,automatic,jm1bl1v88c1676117,ca,34.0,41550.0,black,black,jpmorgan chase bank n.a.,9775.0,11250.0,Tue Dec 16 2014 12:30:00 GMT-0800 (PST)
2012,Infiniti,G Sedan,G37 Journey,G Sedan,automatic,jn1cv6ap0cm620392,ca,35.0,29586.0,gray,black,nissan infiniti lt,21800.0,22750.0,Thu Dec 18 2014 12:30:00 GMT-0800 (PST)
2012,MINI,Cooper,Base,Hatchback,automatic,wmwsu3c56ct257122,ca,36.0,26865.0,blue,—,bmw mini financial services,13750.0,14250.0,Thu Jan 15 2015 04:30:00 GMT-0800 (PST)
2012,Mercedes-Benz,C-Class,C250 Sport,Sedan,automatic,wddgf4hb8cr233513,ca,48.0,32711.0,white,black,aaero sweet company,21800.0,23500.0,Wed Dec 17 2014 12:15:00 GMT-0800 (PST)
2012,,,,,automatic,salmf1e48ca360609,ca,29.0,62786.0,black,black,jpmorgan chase bank n.a.,46400.0,42500.0,Thu Feb 12 2015 04:30:00 GMT-0800 (PST)
2012,MINI,Cooper,Base,Hatchback,manual,wmwsu3c53ct185196,ca,39.0,48311.0,red,—,bmw mini financial services,12550.0,13000.0,Thu Dec 18 2014 12:30:00 GMT-0800 (PST)
2012,Infiniti,M,M37,Sedan,automatic,jn1by1ap1cm332581,ca,42.0,29321.0,black,black,nissan infiniti lt,26400.0,26000.0,Tue Jan 06 2015 12:30:00 GMT-0800 (PST)
2012,Jeep,Liberty,Sport,SUV,automatic,1c4pjlak5cw208177,ca,43.0,29745.0,silver,black,remarketing by ge/mission fcu,14750.0,15750.0,Tue Dec 16 2014 12:00:00 GMT-0800 (PST)
2012,MINI,Cooper,Base,Hatchback,automatic,wmwsu3c56ct257413,ca,37.0,43544.0,blue,—,bmw mini financial services,12900.0,12300.0,Thu Dec 18 2014 12:30:00 GMT-0800 (PST)
2012,Infiniti,M,M37x,Sedan,automatic,jn1by1ar2cm390295,ca,27.0,18725.0,—,black,nissan infiniti lt,28700.0,29500.0,Wed Dec 17 2014 12:30:00 GMT-0800 (PST)
2012,Jaguar,XF,Base,Sedan,automatic,sajwa0fb6cls22675,ca,48.0,28823.0,white,beige,jpmorgan chase bank n.a.,28500.0,32000.0,Thu Dec 18 2014 12:30:00 GMT-0800 (PST)
2012,MINI,Cooper,Base,Hatchback,automatic,wmwsu3c55ct256009,ca,38.0,27277.0,blue,—,bmw mini financial services,14200.0,13500.0,Thu Dec 18 2014 12:30:00 GMT-0800 (PST)
2012,Mercedes-Benz,E-Class,E350 Luxury,Sedan,automatic,wddhf5kb3ca561858,ca,41.0,28489.0,—,off-white,mercedes-benz financial services,29200.0,29000.0,Thu Dec 18 2014 12:30:00 GMT-0800 (PST)
2012,Jeep,Patriot,Sport,SUV,automatic,1c4njpbb6cd528245,ca,37.0,142823.0,white,black,remarketing by ge/xpress rent a car,7950.0,5900.0,Tue Dec 30 2014 15:00:00 GMT-0800 (PST)
2012,Infiniti,G Sedan,G37 Journey,G Sedan,automatic,jn1cv6ap2cm623102,ca,33.0,32906.0,gold,beige,nissan infiniti lt,21400.0,21000.0,Thu Dec 18 2014 12:30:00 GMT-0800 (PST)
2012,Kia,Forte,EX,Sedan,automatic,knafu4a20c5501478,ca,26.0,77875.0,gray,gray,santander consumer,7275.0,6500.0,Thu Feb 12 2015 04:00:00 GMT-0800 (PST)
2012,Mercedes-Benz,C-Class,C250 Sport,Sedan,automatic,wddgf4hbxcr213327,ca,38.0,34087.0,—,black,mercedes-benz financial services,21700.0,20000.0,Thu Dec 18 2014 12:30:00 GMT-0800 (PST)
2012,Infiniti,G Sedan,G37 Journey,G Sedan,automatic,jn1cv6ap2cm620734,ca,4.0,42171.0,gray,black,tradewinds remarketing,20400.0,20250.0,Tue Dec 16 2014 12:00:00 GMT-0800 (PST)
2012,Kia,Sedona,LX,Minivan,,kndmg4c7xc6479574,ca,39.0,69295.0,red,beige,dtg operations inc,8650.0,9300.0,Thu Dec 18 2014 11:30:00 GMT-0800 (PST)
2012,MINI,Cooper,Base,Hatchback,automatic,wmwsu3c53ct263928,ca,45.0,28376.0,red,black,bmw mini financial services,14150.0,14000.0,Thu Dec 18 2014 12:30:00 GMT-0800 (PST)
2012,Infiniti,M,M37,Sedan,automatic,jn1by1ap1cm331687,ca,34.0,31389.0,gray,black,nissan infiniti lt,27400.0,25500.0,Thu Dec 18 2014 12:30:00 GMT-0800 (PST)
2012,Lincoln,Navigator,L,SUV,,5lmjj3h53cel07987,ca,47.0,41598.0,white,gray,ford motor credit company llc pd,32400.0,31000.0,Thu Dec 18 2014 12:00:00 GMT-0800 (PST)
2012,Land Rover,Range Rover Sport,HSE,SUV,automatic,salsf2d49ca718718,ca,45.0,30055.0,white,tan,land rover north america llc,42000.0,34500.0,Thu Dec 18 2014 12:30:00 GMT-0800 (PST)
2012,MINI,Cooper,S,Hatchback,manual,wmwsv3c50cty25460,ca,43.0,4975.0,green,—,bmw mini financial services,18300.0,18250.0,Thu Dec 18 2014 12:30:00 GMT-0800 (PST)
2012,Infiniti,G Sedan,G37 Journey,G Sedan,automatic,jn1cv6ap1cm627934,ca,42.0,28412.0,white,black,exeter finance corp,21900.0,21250.0,Thu Dec 18 2014 12:00:00 GMT-0800 (PST)
2012,Mazda,Mazda3,i Sport,Sedan,automatic,jm1bl1ug0c1525605,ca,37.0,64821.0,gray,black,jpmorgan chase bank n.a.,8000.0,9500.0,Tue Dec 16 2014 12:30:00 GMT-0800 (PST)
2012,Nissan,Altima,2.5 S,Sedan,automatic,1n4al2apxcn433082,ca,25.0,35691.0,gray,black,nissan-infiniti lt,12300.0,10500.0,Tue Dec 16 2014 12:30:00 GMT-0800 (PST)
2012,Mercedes-Benz,S-Class,S550,Sedan,automatic,wddng7db7ca436127,ca,33.0,40158.0,—,black,mercedes-benz financial services,43100.0,40500.0,Thu Jan 29 2015 04:30:00 GMT-0800 (PST)
2012,mitsubishi,galant,fe,,automatic,4a32b2ff6ce016184,ca,41.0,66882.0,red,black,dtg operations inc,7925.0,8400.0,Tue Dec 16 2014 12:30:00 GMT-0800 (PST)
2012,Nissan,Sentra,2,Sedan,automatic,3n1ab6ap1cl763961,ca,36.0,33730.0,black,gray,autonet trading,9600.0,10400.0,Wed Feb 25 2015 04:30:00 GMT-0800 (PST)
2012,Mercedes-Benz,SL-Class,SL550,Convertible,automatic,wdbsk7ba3cf169124,ca,39.0,26776.0,silver,black,sports trend auto sales,58400.0,20500.0,Thu Jan 29 2015 04:30:00 GMT-0800 (PST)
2012,Nissan,Versa,1.8 S,Hatchback,,3n1bc1cp1cl373279,ca,34.0,42619.0,silver,black,gm financial,7875.0,7600.0,Wed Dec 17 2014 12:30:00 GMT-0800 (PST)
2012,Nissan,Leaf,SL,Hatchback,automatic,jn1az0cp8ct015709,ca,46.0,39384.0,—,beige,nissan-infiniti lt,10100.0,12000.0,Wed Dec 17 2014 12:30:00 GMT-0800 (PST)
2012,Nissan,Altima,2.5 S,Sedan,automatic,1n4al2apxcn440467,ca,46.0,37161.0,gold,beige,nissan-infiniti lt,12200.0,12250.0,Tue Dec 16 2014 12:30:00 GMT-0800 (PST)
2012,Ram,1500,R/T,Regular Cab,,3c6jd6ct4cg277128,ca,,21916.0,gray,—,walters auto sales/service inc,19850.0,22250.0,Tue Dec 16 2014 12:30:00 GMT-0800 (PST)
2012,Nissan,Altima,2.5 S,Sedan,automatic,1n4al2ap5cn547233,ca,35.0,61267.0,red,black,sama california auto export inc,9925.0,9800.0,Tue Dec 16 2014 12:30:00 GMT-0800 (PST)
2012,Ram,1500,ST,Regular Cab,automatic,3c6jd6ak6cg143165,ca,36.0,81338.0,white,black,myrddin fleet services,11750.0,10000.0,Thu Dec 18 2014 12:00:00 GMT-0800 (PST)
2012,Nissan,Altima,2.5 S,Sedan,automatic,1n4al2ap5cn454566,ca,38.0,36353.0,white,black,nissan-infiniti lt,12250.0,12000.0,Tue Dec 16 2014 12:30:00 GMT-0800 (PST)
2012,Nissan,Versa,1.8 S,Hatchback,,3n1bc1cp1ck816312,ca,36.0,43546.0,black,black,merchants leasing,7825.0,8400.0,Wed Dec 17 2014 12:30:00 GMT-0800 (PST)
2012,Nissan,Altima,2.5 S,Sedan,automatic,1n4al2ap7cn400752,ca,25.0,77489.0,blue,black,balboa thrift & loan association,9125.0,8000.0,Tue Dec 16 2014 12:00:00 GMT-0800 (PST)
2012,Nissan,Sentra,2,Sedan,,3n1ab6ap8cl622983,ca,19.0,55034.0,black,gray,california republic bank,8450.0,5200.0,Wed Dec 17 2014 11:00:00 GMT-0800 (PST)
2012,Toyota,Avalon,Base,Sedan,automatic,4t1bk3db3cu449763,ca,35.0,48994.0,black,black,rd cars,17000.0,17000.0,Wed Dec 17 2014 12:30:00 GMT-0800 (PST)
2012,Nissan,Maxima,3.5 S,Sedan,automatic,1n4aa5ap0cc842808,ca,19.0,57933.0,blue,black,the hertz corporation,15100.0,10000.0,Thu Feb 05 2015 03:30:00 GMT-0800 (PST)
2012,mitsubishi,galant,fe,,automatic,4a32b2ff0ce016262,ca,31.0,66077.0,white,gray,dtg operations inc,8000.0,7600.0,Thu Dec 18 2014 11:30:00 GMT-0800 (PST)
2012,mitsubishi,galant,fe,,automatic,4a32b2ff5ce008853,ca,26.0,77118.0,black,black,balboa thrift & loan association,7650.0,7900.0,Tue Dec 16 2014 12:30:00 GMT-0800 (PST)
2012,Nissan,Altima,2.5 S,Sedan,automatic,1n4al2ap5cn576568,ca,29.0,53958.0,blue,black,santander consumer,10300.0,10000.0,Thu Dec 18 2014 12:00:00 GMT-0800 (PST)
2012,Nissan,Versa,1.8 S,Hatchback,automatic,3n1bc1cp8ck806330,ca,,16850.0,silver,black,lease plan usa,8900.0,2500.0,Tue Dec 16 2014 13:00:00 GMT-0800 (PST)
2012,Nissan,Altima,2.5 S,Sedan,automatic,1n4al2ap8cn467277,ca,26.0,41233.0,white,gray,the hertz corporation,11000.0,10400.0,Fri Dec 26 2014 12:00:00 GMT-0800 (PST)
2012,Nissan,Altima,2.5 S,Sedan,automatic,1n4al2ap0cc137726,ca,38.0,48019.0,—,gray,nissan-infiniti lt,11500.0,11600.0,Wed Dec 17 2014 12:30:00 GMT-0800 (PST)
2012,Nissan,Altima,2.5 S,Sedan,automatic,1n4al2ap6cn429658,ca,29.0,39056.0,black,gray,nissan-infiniti lt,12100.0,12600.0,Wed Dec 17 2014 12:30:00 GMT-0800 (PST)
2012,Nissan,Altima,2.5 S,Sedan,automatic,1n4al2ap3cc116675,ca,45.0,35285.0,black,gray,nissan-infiniti lt,12350.0,12700.0,Wed Dec 17 2014 12:30:00 GMT-0800 (PST)
2012,Nissan,Versa,1.8 S,Hatchback,automatic,3n1bc1cp0ck808394,ca,25.0,32712.0,silver,black,exeter finance corp,8750.0,8100.0,Tue Dec 30 2014 15:00:00 GMT-0800 (PST)
2012,Nissan,Altima,2.5 S,Sedan,automatic,1n4al2ap0cn450652,ca,36.0,40330.0,white,black,nissan-infiniti lt,12000.0,11500.0,Tue Dec 16 2014 12:30:00 GMT-0800 (PST)
2012,Nissan,NV,3500 S,Van,automatic,1n6af0ly1cn102996,ca,19.0,137729.0,white,gray,nissan-infiniti lt,9525.0,10500.0,Tue Dec 16 2014 12:30:00 GMT-0800 (PST)
2012,Nissan,Maxima,3.5 S,Sedan,automatic,1n4aa5ap5cc825311,ca,21.0,30786.0,black,black,nissan motor acceptance corporation,17100.0,15000.0,Tue Dec 16 2014 12:30:00 GMT-0800 (PST)
2012,Subaru,Impreza,WRX,Hatchback,manual,jf1gr7e64cg236940,ca,3.0,27182.0,blue,black,remarketing by ge/southern california financial,21400.0,23750.0,Tue Dec 16 2014 12:00:00 GMT-0800 (PST)
2012,Toyota,Camry Hybrid,LE,Sedan,automatic,4t1bd1fk6cu007829,ca,43.0,59349.0,red,beige,jpmorgan chase bank n.a.,14900.0,15600.0,Thu Dec 18 2014 12:00:00 GMT-0800 (PST)
2012,Nissan,Altima,2.5 S,Sedan,automatic,1n4al2ap2cn413411,ca,42.0,41516.0,—,black,nissan-infiniti lt,11950.0,13500.0,Wed Dec 17 2014 12:30:00 GMT-0800 (PST)
2012,Nissan,Altima,2.5 S,Sedan,automatic,1n4al2ap6cn565692,ca,35.0,39109.0,gray,black,metro nissan of montclair,12100.0,10400.0,Thu Dec 18 2014 12:00:00 GMT-0800 (PST)
2012,Nissan,Sentra,2,Sedan,automatic,3n1ab6ap5cl694787,ca,28.0,76716.0,white,gray,california republic bank,7575.0,7400.0,Wed Dec 17 2014 12:30:00 GMT-0800 (PST)
2012,Nissan,Armada,SV,SUV,automatic,5n1aa0ne1cn611292,ca,27.0,70973.0,black,black,nissan motor acceptance corporation,28800.0,26000.0,Tue Dec 16 2014 12:30:00 GMT-0800 (PST)
2012,Nissan,GT-R,Black Edition,Coupe,automatic,jn1ar5efxcm251015,ca,37.0,20307.0,gray,black,remarketing services of el paso,70000.0,61000.0,Thu Dec 18 2014 12:30:00 GMT-0800 (PST)
2012,Nissan,Leaf,SL,Hatchback,automatic,jn1az0cp4ct025329,ca,28.0,21393.0,black,tan,nissan-infiniti lt,11250.0,11250.0,Tue Dec 16 2014 12:30:00 GMT-0800 (PST)
2012,Mercedes-Benz,M-Class,ML350 4MATIC,SUV,automatic,4jgda5hb3ca097478,ca,44.0,18266.0,white,beige,mercedes benz of ontario,37100.0,37500.0,Thu Dec 18 2014 12:00:00 GMT-0800 (PST)
2012,Mercedes-Benz,M-Class,ML350 4MATIC,SUV,automatic,4jgda5hb2ca087296,ca,46.0,29338.0,gray,tan,orange coast chrysler jeep dodge,35600.0,34000.0,Wed Dec 17 2014 12:30:00 GMT-0800 (PST)
2012,Nissan,Altima,2.5 S,Sedan,automatic,1n4al2ap2cn436963,ca,35.0,68499.0,white,black,nissan-infiniti lt,10150.0,10500.0,Tue Dec 16 2014 12:30:00 GMT-0800 (PST)
2012,Nissan,Versa,1.8 S,Hatchback,automatic,3n1bc1cp2ck279255,ca,31.0,58768.0,black,black,santander consumer,7525.0,8400.0,Thu Dec 18 2014 12:00:00 GMT-0800 (PST)
2012,mitsubishi,galant,fe,,automatic,4a32b2ff2ce023486,ca,2.0,50151.0,black,black,fox rent a car tra,8225.0,5800.0,Tue Dec 23 2014 12:00:00 GMT-0800 (PST)
2012,Mercedes-Benz,GL-Class,GL450 4MATIC,SUV,automatic,4jgbf7be9ca782589,ca,3.0,54184.0,gray,black,the hertz corporation,29200.0,28500.0,Tue Dec 16 2014 12:30:00 GMT-0800 (PST)
2012,Nissan,Leaf,SL,Hatchback,automatic,jn1az0cp7ct015796,ca,46.0,37937.0,—,beige,nissan-infiniti lt,10350.0,10750.0,Tue Dec 23 2014 12:30:00 GMT-0800 (PST)
2012,Mercedes-Benz,GL-Class,GL450 4MATIC,SUV,automatic,4jgbf7bexca783234,ca,35.0,57821.0,gray,gray,mercedes-benz finc wholesale advantage,28100.0,27750.0,Thu Dec 18 2014 12:30:00 GMT-0800 (PST)
2012,Porsche,Cayenne,Base,SUV,automatic,wp1aa2a25cla01045,ca,39.0,49086.0,black,beige,elad motors,39000.0,38750.0,Tue Dec 16 2014 12:00:00 GMT-0800 (PST)
2012,Nissan,Armada,SL,SUV,automatic,5n1aa0nc8cn607416,ca,33.0,33561.0,silver,gray,the hertz corporation,27300.0,24000.0,Thu Jan 08 2015 11:30:00 GMT-0800 (PST)
2012,Nissan,Altima,2.5 S,Sedan,automatic,1n4al2ap8cc153673,ca,43.0,26506.0,white,tan,nissan-infiniti lt,12900.0,14750.0,Tue Dec 16 2014 12:30:00 GMT-0800 (PST)
2012,Porsche,Panamera,S Hybrid,Sedan,automatic,wp0ad2a76cl045477,ca,41.0,49288.0,gray,black,elad motors,52800.0,49750.0,Tue Dec 16 2014 12:30:00 GMT-0800 (PST)
2012,Toyota,Camry,SE,Sedan,automatic,4t1bf1fk6cu084288,ca,28.0,52277.0,black,black,toyota financial services,13550.0,12900.0,Tue Dec 23 2014 00:00:00 GMT-0800 (PST)
2012,Nissan,Altima,2.5 S,Sedan,automatic,1n4al2ap8cc153415,ca,43.0,12490.0,gray,black,nissan-infiniti lt,13850.0,15000.0,Tue Dec 16 2014 12:30:00 GMT-0800 (PST)
2012,Subaru,Forester,2.5X Touring PZEV,SUV,automatic,jf2shabc9ch423486,ca,23.0,32594.0,gray,gray,jpmorgan chase bank n.a.,16700.0,16000.0,Thu Dec 18 2014 12:00:00 GMT-0800 (PST)
2012,Ram,1500,SLT,Quad Cab,automatic,1c6rd6gp9cs100115,ca,44.0,52039.0,white,black,wells fargo dealer services,15900.0,17300.0,Thu Dec 18 2014 12:00:00 GMT-0800 (PST)
2012,Nissan,Altima,2.5 S,Sedan,automatic,1n4al2ap5cn442160,ca,39.0,31174.0,—,black,nissan-infiniti lt,12600.0,12250.0,Tue Dec 16 2014 12:30:00 GMT-0800 (PST)
2012,Porsche,Panamera,Base,Sedan,automatic,wp0aa2a79cl012594,ca,38.0,29549.0,red,tan,downtown motors inc,50300.0,51500.0,Thu Dec 18 2014 12:30:00 GMT-0800 (PST)
2012,Scion,tC,Base,Hatchback,automatic,jtkjf5c76c3033122,ca,3.0,19565.0,burgundy,black,toyota financial services,13700.0,13000.0,Tue Dec 23 2014 00:00:00 GMT-0800 (PST)
2012,Mercedes-Benz,GL-Class,GL450 4MATIC,SUV,automatic,4jgbf7bexca779751,ca,24.0,59940.0,black,black,the hertz corporation,27300.0,25000.0,Thu Dec 18 2014 12:30:00 GMT-0800 (PST)
2012,Nissan,Altima,2.5 S,Sedan,automatic,1n4al2ap4cn404113,ca,44.0,45196.0,black,black,nissan-infiniti lt,11700.0,12200.0,Wed Dec 17 2014 12:30:00 GMT-0800 (PST)
2012,Nissan,Altima,2.5 S,Coupe,automatic,1n4al2ep5cc226976,ca,2.0,26390.0,blue,beige,nissan motor acceptance corporation,13900.0,10200.0,Wed Dec 17 2014 12:30:00 GMT-0800 (PST)
2012,Porsche,Cayenne,Base,SUV,automatic,wp1aa2a20cla03236,ca,46.0,42303.0,gray,beige,rusnak pasadena jaguar sterling pasadena,40300.0,41500.0,Thu Dec 18 2014 12:00:00 GMT-0800 (PST)
2012,mitsubishi,galant,fe,,automatic,4a32b2ff1ce008333,ca,19.0,46008.0,black,black,remarketing by ge/finance & thrift company,8450.0,6500.0,Tue Dec 16 2014 12:00:00 GMT-0800 (PST)
2012,Nissan,Sentra,2,Sedan,automatic,3n1ab6ap4cl679178,ca,19.0,61044.0,blue,gray,remarketing by ge/flagship credit acceptance,8600.0,5000.0,Wed Feb 04 2015 04:30:00 GMT-0800 (PST)
2012,Mercedes-Benz,S-Class,S350 BlueTEC 4MATIC,Sedan,automatic,wddng8db9ca422512,ca,29.0,63968.0,black,black,mercedes-benz usa,36400.0,31250.0,Thu Dec 18 2014 12:00:00 GMT-0800 (PST)
2012,Scion,tC,Base,Hatchback,manual,jtkjf5c7xc3027985,ca,,23657.0,yellow,—,cardinale gmc truck,13600.0,14400.0,Wed Dec 17 2014 12:30:00 GMT-0800 (PST)
2012,Nissan,Altima,2.5,Sedan,automatic,1n4al2ap8cc254986,ca,29.0,60716.0,red,beige,dtg operations inc,10700.0,9100.0,Thu Dec 18 2014 11:30:00 GMT-0800 (PST)
2012,Nissan,Altima,2.5 S,Sedan,automatic,1n4al2ap9cc126546,ca,19.0,37887.0,white,black,nissan-infiniti lt,12050.0,19000.0,Mon Jan 06 2014 12:30:00 GMT-0800 (PST)
2012,Nissan,Versa,1.8 S,Hatchback,,3n1bc1cp8ck196087,ca,38.0,9281.0,blue,gray,nissan motor acceptance corporation,10500.0,11500.0,Tue Dec 16 2014 12:30:00 GMT-0800 (PST)
2012,Nissan,Altima,2.5 S,Sedan,automatic,1n4al2ap2cc129546,ca,41.0,25209.0,—,black,nissan-infiniti lt,13000.0,15400.0,Wed Dec 17 2014 12:30:00 GMT-0800 (PST)
2012,Mercedes-Benz,S-Class,S350 BlueTEC 4MATIC,Sedan,automatic,wddng8db9ca426754,ca,42.0,34751.0,gray,black,mercedes-benz usa,42400.0,37500.0,Thu Dec 18 2014 12:00:00 GMT-0800 (PST)
2012,Mercedes-Benz,GL-Class,GL450 4MATIC,SUV,automatic,4jgbf7be6ca780900,ca,35.0,60646.0,gray,black,the hertz corporation,27700.0,26250.0,Thu Jan 15 2015 04:00:00 GMT-0800 (PST)
2012,Nissan,Altima,2.5 S,Sedan,automatic,1n4al2ap8cn421206,ca,41.0,40578.0,beige,beige,nissan-infiniti lt,12000.0,12000.0,Tue Dec 16 2014 12:30:00 GMT-0800 (PST)
2012,Ram,1500,SLT,Quad Cab,automatic,1c6rd6gp2cs155540,ca,,46416.0,black,—,riverside car store inc,16300.0,16400.0,Tue Dec 16 2014 12:30:00 GMT-0800 (PST)
2012,Mercedes-Benz,S-Class,S550,Sedan,automatic,wddng7db1ca424913,ca,35.0,38680.0,—,brown,mercedes-benz financial services,43300.0,41750.0,Thu Jan 15 2015 04:30:00 GMT-0800 (PST)
2012,Nissan,Altima,2.5 S,Sedan,automatic,1n4al2ap5cn429618,ca,37.0,25317.0,blue,black,nissan-infiniti lt,13000.0,13000.0,Tue Dec 16 2014 12:30:00 GMT-0800 (PST)
2012,Mercedes-Benz,GL-Class,GL450 4MATIC,SUV,automatic,4jgbf7be4ca779566,ca,38.0,61663.0,black,gray,the hertz corporation,26900.0,26801.0,Wed Dec 17 2014 12:30:00 GMT-0800 (PST)
2012,Ram,2500,ST,Crew Cab,manual,3c6ud5hl5cg142479,ca,46.0,31537.0,white,—,century dealer services corp,31100.0,36000.0,Wed Dec 17 2014 12:15:00 GMT-0800 (PST)
2012,Nissan,Altima,2.5 S,Sedan,automatic,1n4al2ap8cn474181,ca,44.0,13853.0,white,gray,nissan-infiniti lt,13750.0,13250.0,Tue Dec 16 2014 12:30:00 GMT-0800 (PST)
2012,Nissan,Sentra,2,Sedan,,3n1ab6ap7cl660012,ca,,54911.0,red,—,corona auto wholesale inc,8450.0,8200.0,Tue Dec 16 2014 12:30:00 GMT-0800 (PST)
2012,Nissan,Sentra,2,Sedan,,3n1ab6apxcl629997,ca,21.0,32247.0,blue,gray,merchants leasing,9675.0,7300.0,Wed Feb 04 2015 04:30:00 GMT-0800 (PST)
2012,Porsche,911,Carrera S (Midyear Redesign),Coupe,automatic,wp0ab2a95cs121218,ca,44.0,16480.0,black,gray,mckenna audi/mckenna bmw,70000.0,72500.0,Thu Dec 18 2014 12:00:00 GMT-0800 (PST)
2012,Nissan,Altima,2.5 S,Sedan,automatic,1n4al2ap0cn424407,ca,41.0,60795.0,silver,black,nissan-infiniti lt,10650.0,12500.0,Tue Dec 16 2014 12:30:00 GMT-0800 (PST)
2012,Nissan,Altima,2.5 S,Sedan,automatic,1n4al2ap3cn402255,ca,43.0,52004.0,white,gray,nissan-infiniti lt,11250.0,11250.0,Tue Dec 16 2014 12:30:00 GMT-0800 (PST)
2012,Nissan,Leaf,SL,Hatchback,automatic,jn1az0cp4ct026805,ca,39.0,18201.0,white,beige,nissan-infiniti lt,11500.0,12500.0,Tue Dec 16 2014 12:30:00 GMT-0800 (PST)
2012,Nissan,Altima,2.5 S,Sedan,automatic,1n4al2ap8cn428611,ca,43.0,34336.0,—,gray,nissan-infiniti lt,12400.0,12000.0,Tue Dec 16 2014 12:30:00 GMT-0800 (PST)
2012,Nissan,Altima,2.5 S,Sedan,automatic,1n4al2ap8cc150000,ca,36.0,61281.0,black,black,merchants automotive group,9850.0,9800.0,Wed Dec 17 2014 12:30:00 GMT-0800 (PST)
2012,Nissan,Altima,2.5 S,Sedan,automatic,1n4al2ap9cn499901,ca,39.0,20829.0,white,gray,nissan-infiniti lt,13300.0,13250.0,Tue Dec 16 2014 12:30:00 GMT-0800 (PST)
2012,Nissan,Altima,2.5 S,Sedan,automatic,1n4al2ap5cn458231,ca,35.0,33732.0,white,black,nissan-infiniti lt,12450.0,12500.0,Tue Dec 16 2014 12:30:00 GMT-0800 (PST)
2012,Mercedes-Benz,GL-Class,GL450 4MATIC,SUV,automatic,4jgbf7be2ca778965,ca,38.0,58460.0,—,black,mercedes-benz finc wholesale advantage,27800.0,27750.0,Thu Dec 18 2014 12:30:00 GMT-0800 (PST)
2012,Nissan,Versa,1.8 S,Hatchback,automatic,3n1bc1cp3ck229013,ca,42.0,41746.0,white,beige,wells fargo dealer services,8275.0,9300.0,Thu Dec 18 2014 12:00:00 GMT-0800 (PST)
2012,Nissan,Rogue,S,SUV,automatic,jn8as5mv8cw412187,ca,4.0,26320.0,white,beige,nissan motor acceptance corporation,16150.0,16000.0,Wed Dec 17 2014 12:30:00 GMT-0800 (PST)
2012,Nissan,Altima,2.5 S,Sedan,automatic,1n4al2ap1cn434122,ca,36.0,26203.0,white,black,nissan-infiniti lt,12950.0,13000.0,Tue Dec 16 2014 12:30:00 GMT-0800 (PST)
